IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Closed,PGEO,PT Pertamina Geothermal Energy Tbk,Infrastructures,Electric Utilities,Utama,875.0,0.0,-0.05142857142857143,-0.03614457831325301,0.04375,0.041916167664670656,0.005747126436781609,-0.017142857142857144,0.34285714285714286,Menyelenggarakan usaha di bidang panas bumi dari sisi hulu dan/atau sisi hilir serta kegiatan usaha,"Grha Pertamina – Tower Pertamax Lt. 7 Jl. Medan Merdeka Timur No. 11-13 Gambir, Jakarta Pusat 10110, Indonesia",https://www.pge.pertamina.com,10350000000,25.0,CC - MANDIRI SEKURITAS,"['CC - MANDIRI SEKURITAS', 'CS - CREDIT SUISSE SEKURITAS INDONESIA', 'DX - BAHANA SEKURITAS', 'GW - HSBC SEKURITAS INDONESIA', 'IF - SAMUEL SEKURITAS INDONESIA', 'KZ - CLSA SEKURITAS INDONESIA', 'PF - DANASAKTI SEKURITAS INDONESIA']",2023-02-01,2023-02-09,820,945,2023-02-20,2023-02-22,2023-02-22,2023-02-23,2023-02-24,0.0,
Closed,KING,PT Hoffmen Cleanindo Tbk,Industrials,Human Resource & Employment Services,Akselerasi,130.0,-0.1,-0.09401709401709402,-0.09433962264150944,0.09375,0.09523809523809523,0.09565217391304348,-0.03968253968253968,0.3076923076923077,"Jasa Cleaning Service, Security, Washroom Hygiene, Labour Supply dan Parkir melalui Perusahaan Anak",Jl. Raya Jembatan Tiga No. 8 Penjaringan Jakarta Utara 14440,https://www.hoffmen.co.id,520000000,20.0,XA - NH KORINDO SEKURITAS INDONESIA,['XA - NH KORINDO SEKURITAS INDONESIA'],2023-01-25,2023-01-30,115,130,2023-02-10,2023-02-14,2023-02-14,2023-02-15,2023-02-16,0.5,200.0
Closed,VAST,PT Vastland Indonesia Tbk,Properties & Real Estate,Real Estate Development & Management,Pengembangan,108.0,-0.06481481481481481,-0.04950495049504951,0.25,-0.06666666666666667,-0.03571428571428571,-0.027777777777777776,0.02857142857142857,-0.3425925925925926,Real Estate yang Dimiliki Sendiri atau Disewa,"Jl. Tembesu No. 8A, Kel. Campang Raya, Sukabumi, Bandar Lampung, Lampung 35122",https://www.vastland.co.id,650000000,21.0,AO - ERDIKHA ELIT SEKURITAS,['AO - ERDIKHA ELIT SEKURITAS'],2023-01-16,2023-01-20,100,109,2023-02-01,2023-02-06,2023-02-06,2023-02-07,2023-02-08,0.2,338.0
Closed,CHIP,PT Pelita Teknologi Global Tbk,Technology,Electronic Equipment & Instruments,Akselerasi,160.0,0.1,0.09659090909090909,0.09844559585492228,0.09433962264150944,-0.008620689655172414,0.034782608695652174,0.09243697478991597,8.03125,Bergerak dalam Bidang Aktivitas Konsultasi dan Perancangan Internet of Things & Industri Smart Card,"Jl. Gatot Subroto KM 5, No 66, Kroncong, Jatiuwung, Tangerang, Banten 15134",https://www.pelitateknologi.com,200000000,25.0,YJ - LOTUS ANDALAN SEKURITAS,['YJ - LOTUS ANDALAN SEKURITAS'],2023-01-17,2023-01-24,140,180,2023-02-02,2023-02-06,2023-02-06,2023-02-07,2023-02-08,0.0,
Closed,PACK,PT Solusi Kemasan Digital Tbk,Industrials,Commercial Printing,Akselerasi,162.0,-0.09876543209876543,-0.0958904109589041,-0.06060606060606061,-0.0967741935483871,-0.08928571428571429,-0.0784313725490196,0.02127659574468085,-0.808641975308642,Industri Percetakan Digital Untuk Kemasan Fleksibel,"JL. Jababeka 2 Blok C/11-D Kawasan Industri Jababeka Cikarang Utara Kabupaten Bekasi, Jawa Barat 17530",https://www.flexypack.com,308000000,20.0,XA - NH KORINDO SEKURITAS INDONESIA,['XA - NH KORINDO SEKURITAS INDONESIA'],2023-01-12,2023-01-17,110,162,2023-02-02,2023-02-06,2023-02-06,2023-02-07,2023-02-08,0.2,350.0
Closed,HALO,PT Haloni Jane Tbk,Healthcare,Healthcare Equipment,Pengembangan,100.0,0.17,0.008547008547008548,0.11016949152542373,-0.06870229007633588,-0.02459016393442623,0.058823529411764705,-0.031746031746031744,-0.3,Bergerak dalam bidang barang dari karet untuk kesehatan,"Jl Raya Serang km. 13,8 Kawasan Industri Tristate, Sukadamai Cikupa Tangerang Indonesia",http://halonijane.co.id/,1130000000,20.0,II - DANATAMA MAKMUR SEKURITAS,"['II - DANATAMA MAKMUR SEKURITAS', 'CP - KB VALBURY SEKURITAS']",2023-01-17,2023-01-24,100,150,2023-02-01,2023-02-06,2023-02-06,2023-02-07,2023-02-08,0.5,150.0
Closed,IRSX,PT Aviana Sinar Abadi Tbk,Technology,Software,Pemantauan Khusus,101.0,0.019801980198019802,-0.019417475728155338,-0.009900990099009901,-0.07,0.010752688172043012,0.010638297872340425,-0.042105263157894736,-0.8613861386138614,Bergerak di Bidang Aktivitas Pemrograman Komputer Lainnya,"Jl. Alaydrus No. 66 BC Lantai 3 - RT.10/RW.2, Petojo Utara, Gambir, Kota Jakarta Pusat Daerah Khusus Ibukota Jakarta 10130",https://aviana.co.id/,1000000000,20.0,AH - SHINHAN SEKURITAS INDONESIA,['AH - SHINHAN SEKURITAS INDONESIA'],2023-01-11,2023-01-17,100,101,2023-02-01,2023-02-03,2023-02-03,2023-02-06,2023-02-07,1.4,91.0
Closed,NAYZ,PT Hassana Boga Sejahtera Tbk,Consumer Non-Cyclicals,Processed Foods,Akselerasi,100.0,-0.1,-0.1,-0.09876543209876543,0.0273972602739726,-0.04,0.05555555555555555,0.06578947368421052,-0.73,Menjalankan usaha dalam bidang industri makanan bayi,"Kawasan Pergudangan Multiguna Taman Tekno 2 Blok L2 No. 35 BSD, Tangerang Selatan, Banten",https://www.hassana.co.id/,510000000,20.0,SF - SURYA FAJAR SEKURITAS,['SF - SURYA FAJAR SEKURITAS'],2023-01-02,2023-01-11,100,120,2023-01-31,2023-02-02,2023-02-02,2023-02-03,2023-02-06,1.0,125.0
Closed,FWCT,PT Wijaya Cahaya Timber Tbk,Basic Materials,Timber,Pengembangan,118.0,0.3474576271186441,-0.06918238993710692,-0.06756756756756757,-0.06521739130434782,-0.06976744186046512,-0.06666666666666667,0.14285714285714285,-0.1271186440677966,Industri Kayu Lapis,"Jl. Puri Indah, Ruko Sentra Niaga Puri Indah Blok T1 No.47, Kembangan Selatan, Kembangan, Jakarta Barat, Jakarta 11610",http://wijayacahayatimber.com/,375000000,20.0,YJ - LOTUS ANDALAN SEKURITAS,['YJ - LOTUS ANDALAN SEKURITAS'],2023-01-09,2023-01-16,108,118,2023-01-26,2023-01-30,2023-01-30,2023-01-31,2023-02-01,0.0,
Closed,LAJU,PT Jasa Berdikari Logistics Tbk,Transportation & Logistic,Logistics & Deliveries,Pengembangan,100.0,0.35,0.02962962962962963,-0.06474820143884892,0.007692307692307693,0.07633587786259542,0.0851063829787234,-0.058823529411764705,-0.5,Jasa Logistik Terintegrasi,"Jl. Kopi No. 4 D Lt. 2. Roa Malaka, Tambora Jakarta Barat – 11230 Telepon: 021 – 6912287",https://www.jasaberdikari.co.id,700000000,33.0,XA - NH KORINDO SEKURITAS INDONESIA,['XA - NH KORINDO SEKURITAS INDONESIA'],2022-12-30,2023-01-06,100,150,2023-01-20,2023-01-25,2023-01-25,2023-01-26,2023-01-27,0.2,175.0
Closed,PEVE,PT Penta Valent Tbk,Healthcare,Pharmaceuticals,Pengembangan,149.0,0.3422818791946309,0.22,-0.05737704918032787,0.0,-0.043478260869565216,-0.06363636363636363,0.0,0.6241610738255033,Distributor Produk Farmasi dan Produk Konsumsi,"Jl. Kedoya Raya No. 33, Kedoya Utara, Kebon Jeruk 11520",http://www.pentavalent.co.id/,353125000,20.0,YJ - LOTUS ANDALAN SEKURITAS,['YJ - LOTUS ANDALAN SEKURITAS'],2022-12-30,2023-01-05,120,149,2023-01-17,2023-01-19,2023-01-19,2023-01-20,2023-01-24,0.0,
Canceled,BSMT-C1,PT Bank Pembangunan Daerah Sumatera Utara Tbk.,Financials,Banks,,,,,,,,,,,Jasa Perbankan,"Gedung Bank SUMUT JL. Imam Bonjol No 18 Medan 20212 Sumatera Utara, Indonesia",https://www.banksumut.co.id,2934798300,23.0,OD - BRI DANAREKSA SEKURITAS,"['OD - BRI DANAREKSA SEKURITAS', 'AI - UOB KAY HIAN SEKURITAS', 'DR - RHB SEKURITAS INDONESIA', 'PP - ALDIRACITA SEKURITAS INDONESIA']",2023-01-05,2023-01-18,350,510,,,,,,0.0,
Closed,BMBL,PT Lavender Bina Cendikia Tbk,Consumer Cyclicals,Education Services,Akselerasi,188.0,-0.09574468085106383,-0.1,-0.09803921568627451,-0.09420289855072464,-0.096,-0.09734513274336283,0.0,-0.9521276595744681,Pendidikan Bimbingan Belajar dan Konseling Swasta,"Office Tower Taman Melati Lt.5 Jalan Margonda Raya no.525 Depok, Jawa Barat",http://www.lavenderprograms.com/,280000000,27.0,HD - KGI SEKURITAS INDONESIA,"['HD - KGI SEKURITAS INDONESIA', 'YP - MIRAE ASSET SEKURITAS INDONESIA']",2022-12-19,2022-12-26,187,196,2023-01-03,2023-01-09,2023-01-09,2023-01-10,2023-01-11,0.8,250.0
Closed,WINE,PT Hatten Bali Tbk,Consumer Cyclicals,Consumer Distributors,Pengembangan,129.0,0.3488372093023256,0.3448275862068966,0.24786324786324787,0.1095890410958904,-0.06790123456790123,-0.06622516556291391,-0.06382978723404255,1.3565891472868217,Distribusi Minuman Beralkohol dan Pengolahannya melalui Perusahaan Anak,"Hatten Wines Building Jl. Bypass Ngurah Rai No. 393, Sanur, Bali",https://www.hattenbali.co.id,678000000,25.0,XA - NH KORINDO SEKURITAS INDONESIA,['XA - NH KORINDO SEKURITAS INDONESIA'],2022-12-19,2022-12-22,100,150,2023-01-03,2023-01-06,2023-01-06,2023-01-09,2023-01-10,0.0,
Closed,SUNI,PT Sunindo Pratama Tbk,Energy,"Oil, Gas & Coal Equipment & Services",Utama,300.0,0.0,-0.03333333333333333,0.10344827586206896,-0.05625,0.0,-0.019867549668874173,0.006756756756756757,1.5833333333333333,"Bergerak dalam bidang perdagangan besar mesin, peralatan dan perlengkapan lainnya, perdagangan besar","Jl. Prof Dr. Soepomo SH. No. 48, Tebet Jakarta Selatan 12870, Indonesia",https://www.sunindogroup.com,600000000,24.0,AI - UOB KAY HIAN SEKURITAS,['AI - UOB KAY HIAN SEKURITAS'],2022-12-19,2022-12-23,280,300,2023-01-02,2023-01-05,2023-01-05,2023-01-06,2023-01-09,0.0,
Closed,CBRE,PT Cakra Buana Resources Energi Tbk,Energy,Coal Distribution,Pemantauan Khusus,108.0,0.3425925925925926,0.3448275862068966,-0.06666666666666667,-0.06593406593406594,-0.06470588235294118,-0.06918238993710692,0.0472972972972973,-0.8240740740740741,Angkutan Laut Dalam Negeri Untuk Barang Umum,"Sona Topas Tower Lt. 5A, Jl. Jenderal Sudirman Kav. 26, Jakarta Selatan 12920, Indonesia",https://www.cbre.co.id,738000000,16.0,DR - RHB SEKURITAS INDONESIA,"['DR - RHB SEKURITAS INDONESIA', 'HD - KGI SEKURITAS INDONESIA']",2022-12-13,2022-12-16,100,110,2023-01-02,2023-01-05,2023-01-05,2023-01-06,2023-01-09,1.8,258.0
Closed,BEER,PT Jobubu Jarum Minahasa Tbk,Consumer Non-Cyclicals,Liquors,Pengembangan,220.0,0.17272727272727273,0.015503875968992248,-0.007633587786259542,0.007692307692307693,0.04580152671755725,-0.0072992700729927005,0.03676470588235294,-0.01818181818181818,"Industri Minuman Beralkohol Hasil Destilasi, Industri Minuman Beralkohol Hasil Fermentasi Anggur","Desa Kapitu, Kelurahan Kapitu, Kecamatan Amurang Barat, Kabupaten Minahasa Selatan, Provinsi Sulawesi Utara",http://www.jobubu.com/,800000000,20.0,AI - UOB KAY HIAN SEKURITAS,['AI - UOB KAY HIAN SEKURITAS'],2022-12-16,2022-12-22,200,220,2023-01-02,2023-01-04,2023-01-04,2023-01-05,2023-01-06,0.0,
Closed,ELIT,PT Data Sinergitama Jaya Tbk,Technology,IT Services & Consulting,Pengembangan,120.0,-0.06666666666666667,0.3482142857142857,0.11920529801324503,-0.011834319526627219,0.011976047904191617,-0.0650887573964497,-0.06962025316455696,-0.058333333333333334,Bidang Usaha Penyedia Layanan (managed service) di Bidang Teknologi Informasi (Cloud),"The Manhattan Squre Tower B Lt. 22, Jl. TB Simatupang, RT.3/RW.3, Cilandak Timur, Pasar Minggu, Jakarta Selatan,12560 Telepon: 0217511004",https://www.elitery.com,500000000,25.0,XA - NH KORINDO SEKURITAS INDONESIA,['XA - NH KORINDO SEKURITAS INDONESIA'],2022-12-16,2022-12-22,120,150,2023-01-02,2023-01-04,2023-01-04,2023-01-05,2023-01-06,0.5,150.0
Closed,SOUL,PT Mitra Tirta Buwana Tbk,Consumer Non-Cyclicals,Food Retail & Distributors,Akselerasi,110.0,-0.1,-0.09090909090909091,-0.1,-0.09876543209876543,-0.0410958904109589,-0.1,-0.09523809523809523,-0.8818181818181818,Bergerak dalam bidang usaha Air Minum Dalam Kemasan,"Jl. Waru No. 74 Sambilegi Baru RT.001 RW.003 Maguwoharjo, Depok, Sleman Yogyakarta - Indonesia, 55282",http://hexsoul.co.id/,270000000,25.0,AN - WANTEG SEKURITAS,"['AN - WANTEG SEKURITAS', 'AH - SHINHAN SEKURITAS INDONESIA']",2022-12-19,2022-12-26,100,110,2023-01-02,2023-01-04,2023-01-04,2023-01-05,2023-01-06,0.25,100.0
Closed,CBPE,PT Citra Buana Prasida Tbk,Properties & Real Estate,Real Estate Development & Management,Pengembangan,150.0,-0.006666666666666667,-0.006711409395973154,0.02702702702702703,0.2631578947368421,-0.06770833333333333,-0.0670391061452514,-0.0658682634730539,0.1,Bergerak di bidang real estat dan property,"Komplek Paskal Hyper Square Blok G Lantai 2 No. 206 – 208, Jl. H.O.S. Cokroaminoto No. 25 – 27 (dh. Jl. Pasirkaliki No. 25 – 27), Bandung 40181, Tel.: (022) 8606 1108",https://www.citrabuanaprasida.co.id,271250000,20.0,GR - PANIN SEKURITAS TBK.,['GR - PANIN SEKURITAS TBK.'],2022-12-19,2022-12-23,100,150,2023-01-02,2023-01-04,2023-01-04,2023-01-05,2023-01-06,0.0,
Closed,VTNY,PT Venteny Fortuna International Tbk,Financials,Consumer Financing,Utama,360.0,0.1,-0.045454545454545456,0.0,0.031746031746031744,0.03076923076923077,0.014925373134328358,-0.0196078431372549,-0.6416666666666667,Aktivitas Perusahaan Holding dan Aktivitas Pengembangan Aplikasi Perdagangan Melalui Internet,"World Trade Centre (WTC) 5 Lantai 13, Jl. Jend. Sudirman Kav. 29-31, Jakarta Selatan, 12920",https://www.venteny.com,939779100,15.0,SF - SURYA FAJAR SEKURITAS,"['SF - SURYA FAJAR SEKURITAS', 'CD - MEGA CAPITAL SEKURITAS', 'OD - BRI DANAREKSA SEKURITAS', 'YP - MIRAE ASSET SEKURITAS INDONESIA']",2022-11-21,2022-11-29,350,450,2022-12-09,2022-12-13,2022-12-13,2022-12-14,2022-12-15,0.0,
Closed,ISAP,PT Isra Presisi Indonesia Tbk,Consumer Cyclicals,Auto Parts & Equipment,Akselerasi,96.0,-0.09375,-0.09195402298850575,-0.08860759493670886,-0.09722222222222222,0.09230769230769231,0.09859154929577464,0.08974358974358974,-0.9166666666666666,Industri Mesin dan Perkakas Mesin untuk Pengerjaan Logam,"Kawasan Industri Delta Silicon III Lippo Cikarang Bekasi Jawa Barat, 17530",https://www.isra.co.id/en,1500000000,37.0,AI - UOB KAY HIAN SEKURITAS,['AI - UOB KAY HIAN SEKURITAS'],2022-11-07,2022-11-14,95,100,2022-12-01,2022-12-07,2022-12-07,2022-12-08,2022-12-09,0.5,125.0
Closed,PADA,PT Personel Alih Daya Tbk,Industrials,Human Resource & Employment Services,Pemantauan Khusus,100.0,0.1,-0.05454545454545454,-0.028846153846153848,-0.039603960396039604,0.13402061855670103,-0.02727272727272727,-0.009345794392523364,-0.85,"Jasa Teknikal dan Pemeliharaan Peralatan Telekomunikasi, Call Center, Perkantoran, Keamanan dan SDM","Jl. Kebagusan 1 No. 4, Kebagusan, Pasar Minggu, Jakarta Selatan, Kode Pos 12520, Indonesia",https://www.persada.id,900000000,29.0,AI - UOB KAY HIAN SEKURITAS,"['AI - UOB KAY HIAN SEKURITAS', 'AO - ERDIKHA ELIT SEKURITAS']",2022-11-16,2022-11-22,100,120,2022-12-02,2022-12-06,2022-12-06,2022-12-07,2022-12-08,0.0,
Closed,MMIX,PT Multi Medika Internasional Tbk,Consumer Non-Cyclicals,Household Products,Pengembangan,190.0,0.3473684210526316,-0.0625,-0.06666666666666667,0.05357142857142857,0.025423728813559324,-0.01652892561983471,0.07563025210084033,-0.7,"Perdagangan Besar Alat Laboratorium, Alat Farmasi dan Alat Kedokteran Untuk Manusia, dan Sewa Guna U","PT. Multi Medika Internasional Tbk Jl. Peternakan III No.55B, Kelurahan Kapuk, Kecamatan Cengkareng, Jakarta Barat – DKI Jakarta, Kode Pos 11720",https://www.multimed.co.id/,600000000,25.0,YP - MIRAE ASSET SEKURITAS INDONESIA,['YP - MIRAE ASSET SEKURITAS INDONESIA'],2022-11-15,2022-11-22,160,210,2022-11-30,2022-12-02,2022-12-02,2022-12-05,2022-12-06,0.5,300.0
Closed,NINE,PT Techno9 Indonesia Tbk,Technology,IT Services & Consulting,Akselerasi,75.0,-0.08,-0.08695652173913043,-0.09523809523809523,-0.08771929824561403,-0.09615384615384616,-0.0851063829787234,-0.09302325581395349,-0.9066666666666666,Bergerak di bidang perdagangan komputer dan perlengkapannya,Komplek Taman Semanan Indah Ruko Plaza Delumina Blok C No. 1 Duri Kosambi – Cengkareng Jakarta Barat 11750,https://www.techno9indonesia.com/,432000000,20.0,SA - ELIT SUKSES SEKURITAS,"['SA - ELIT SUKSES SEKURITAS', 'MI - VICTORIA SEKURITAS INDONESIA']",2022-11-14,2022-11-17,70,90,2022-11-28,2022-12-01,2022-12-01,2022-12-02,2022-12-05,0.0,
Closed,KETR,PT Ketrosden Triasmitra Tbk,Infrastructures,Wired Telecommunication Service,Pengembangan,300.0,0.06666666666666667,-0.06875,-0.013422818791946308,0.0,-0.04081632653061224,-0.04964539007092199,-0.06716417910447761,-0.3433333333333333,"Pembangunan, penjualan dan pemeliharaan jaringan telekomunikasi kabel serat optik","Gedung Meta Epsi Lantai 2 Jl. Mayjend D.I. Panjaitan Kav. 2, Jakarta Timur",https://www.triasmitra.com/,426200000,15.0,AH - SHINHAN SEKURITAS INDONESIA,['AH - SHINHAN SEKURITAS INDONESIA'],2022-10-20,2022-10-26,246,360,2022-11-02,2022-11-08,2022-11-08,2022-11-09,2022-11-10,0.0,
Closed,ZATA,PT Bersama Zatta Jaya Tbk,Consumer Cyclicals,"Clothing, Accessories & Bags",Pemantauan Khusus,100.0,0.35,0.34814814814814815,0.34065934065934067,0.23770491803278687,-0.06622516556291391,-0.06382978723404255,-0.06818181818181818,-0.91,Company Overview,"Komplek Industri Prapanca No.24, Cigondewah Kaler Kec. Bandung Kulon, Kota Bandung - Jawa Barat 40214",https://www.elcorps.com/,1700000000,20.0,AI - UOB KAY HIAN SEKURITAS,['AI - UOB KAY HIAN SEKURITAS'],2022-10-20,2022-10-26,100,130,2022-11-02,2022-11-08,2022-11-08,2022-11-09,2022-11-10,0.0,
